id,numero,titulo,director,anio_estreno,pais_origen,fecha_vista,anio_visto,es_revisionado,estado_enriquecimiento,fuente,genero,animo,sinopsis,poster_url,rating_externo,notas_ia
P0070-1,70,Los paranoicos,Gabriel Medina,2008,Argentina,2019-07-03,2018,No,Migrada,CSV historico,,,,,,
P0071-1,71,Evil dead 2,Sam Raimi,1987,USA,2019-07-06,2018,No,Migrada,CSV historico,,,,,,
P0072-1,72,El dia de la bestia,Alex de la iglesia,1995,España,2019-07-07,2018,No,Migrada,CSV historico,,,,,,
P0073-1,73,The Stanford prison experiment,Kyle Patrick Alvarez,2015,USA,2019-07-08,2018,No,Migrada,CSV historico,,,,,,
P0074-1,74,The Rocky horror picture show,Jim Sharman,1975,UK/USA,2019-07-08,2018,No,Migrada,CSV historico,,,,,,
P0075-1,75,Tango Feroz,Marcelo Piñeyro,1993,Argentina,2019-07-09,2018,No,Migrada,CSV historico,,,,,,
P0076-1,76,Crimen ferpecto,Alex de la iglesia,2004,España,2019-07-09,2018,No,Migrada,CSV historico,,,,,,
P0077-1,77,The curius case of Benjamin Buttom,David Fincher,2008,USA,2019-07-15,2018,No,Migrada,CSV historico,,,,,,
P0078-1,78,Demon,Marcin Wrona,2015,Polonia,2019-07-17,2018,No,Migrada,CSV historico,,,,,,
P0079-1,79,Bachelor party,Neal Israel,1984,USA,2019-07-24,2018,Si,Migrada,CSV historico,,,,,,
P0080-1,80,Neighbors 2,Nicholas Stoller,2016,USA,2019-07-24,2018,No,Migrada,CSV historico,,,,,,
P0081-1,81,Psycho,Alfred Hitchcock,1960,USA,2019-07-26,2018,No,Migrada,CSV historico,,,,,,
P0082-1,82,El aviso,Daniel Calparsoro,2018,España,2019-07-26,2018,No,Migrada,CSV historico,,,,,,
P0083-1,83,Cape Fear,Martin Scorsese,1991,USA,2019-07-27,2018,Si,Migrada,CSV historico,,,,,,
P0084-1,84,Chappie,Neill Blomkamp,2015,USA/Sudafrica,2019-07-29,2018,No,Migrada,CSV historico,,,,,,
P0085-1,85,Bolivia,Adrian Caetano,2002,Argentina,2019-08-12,2018,No,Migrada,CSV historico,,,,,,
P0086-1,86,Los intocables,Brian Di Palma,1987,USA,2019-08-13,2018,No,Migrada,CSV historico,,,,,,
